ID,Name,Description,Techniques,Tactics,Techniques-Description,Techniques-Name
C0046,ArcaneDoor,ArcaneDoor included interception of HTTP traffic to victim devices to identify and parse command and control information sent to the device.,T1557,"Tactics:
Credential Access,                                                        Collection","Adversaries may attempt to position themselves between two or more networked devices using an adversary-in-the-middle (AiTM) technique to support follow-on behaviors such as Network Sniffing, Transmitted Data Manipulation, or replay attacks (Exploitation for Credential Access). By abusing features of common networking protocols that can determine the flow of network traffic (e.g. ARP, DNS, LLMNR, etc.), adversaries may force a device to communicate through an adversary controlled system so they can collect information or perform additional actions.",Adversary-in-the-Middle
S0281,Dok,Dok proxies web traffic to potentially monitor and alter victim HTTP(S) traffic.,T1557,"Tactics:
Credential Access,                                                        Collection","Adversaries may attempt to position themselves between two or more networked devices using an adversary-in-the-middle (AiTM) technique to support follow-on behaviors such as Network Sniffing, Transmitted Data Manipulation, or replay attacks (Exploitation for Credential Access). By abusing features of common networking protocols that can determine the flow of network traffic (e.g. ARP, DNS, LLMNR, etc.), adversaries may force a device to communicate through an adversary controlled system so they can collect information or perform additional actions.",Adversary-in-the-Middle
G0094,Kimsuky,Kimsuky has used modified versions of PHProxy to examine web traffic between the victim and the accessed website.,T1557,"Tactics:
Credential Access,                                                        Collection","Adversaries may attempt to position themselves between two or more networked devices using an adversary-in-the-middle (AiTM) technique to support follow-on behaviors such as Network Sniffing, Transmitted Data Manipulation, or replay attacks (Exploitation for Credential Access). By abusing features of common networking protocols that can determine the flow of network traffic (e.g. ARP, DNS, LLMNR, etc.), adversaries may force a device to communicate through an adversary controlled system so they can collect information or perform additional actions.",Adversary-in-the-Middle
S1188,Line Runner,"Line Runner intercepts HTTP requests to the victim Cisco ASA, looking for a request with a 32-character, victim dependent parameter. If that parameter matches a value in the malware, a contained payload is then written to a Lua script and executed.",T1557,"Tactics:
Credential Access,                                                        Collection","Adversaries may attempt to position themselves between two or more networked devices using an adversary-in-the-middle (AiTM) technique to support follow-on behaviors such as Network Sniffing, Transmitted Data Manipulation, or replay attacks (Exploitation for Credential Access). By abusing features of common networking protocols that can determine the flow of network traffic (e.g. ARP, DNS, LLMNR, etc.), adversaries may force a device to communicate through an adversary controlled system so they can collect information or perform additional actions.",Adversary-in-the-Middle
S1131,NPPSPY,"NPPSPY opens a new network listener for the mpnotify.exe process that is typically contacted by the Winlogon process in Windows. A new, alternative RPC channel is set up with a malicious DLL recording plaintext credentials entered into Winlogon, effectively intercepting and redirecting the logon information.",T1557,"Tactics:
Credential Access,                                                        Collection","Adversaries may attempt to position themselves between two or more networked devices using an adversary-in-the-middle (AiTM) technique to support follow-on behaviors such as Network Sniffing, Transmitted Data Manipulation, or replay attacks (Exploitation for Credential Access). By abusing features of common networking protocols that can determine the flow of network traffic (e.g. ARP, DNS, LLMNR, etc.), adversaries may force a device to communicate through an adversary controlled system so they can collect information or perform additional actions.",Adversary-in-the-Middle
G1041,Sea Turtle,Sea Turtle modified DNS records at service providers to redirect traffic from legitimate resources to Sea Turtle-controlled servers to enable adversary-in-the-middle attacks for credential capture.,T1557,"Tactics:
Credential Access,                                                        Collection","Adversaries may attempt to position themselves between two or more networked devices using an adversary-in-the-middle (AiTM) technique to support follow-on behaviors such as Network Sniffing, Transmitted Data Manipulation, or replay attacks (Exploitation for Credential Access). By abusing features of common networking protocols that can determine the flow of network traffic (e.g. ARP, DNS, LLMNR, etc.), adversaries may force a device to communicate through an adversary controlled system so they can collect information or perform additional actions.",Adversary-in-the-Middle
S0363,Empire,Empire can use Inveigh to conduct name service poisoning for credential theft and associated relay attacks.,T1557.001,"Tactics:
Credential Access,                                                        Collection","By responding to LLMNR/NBT-NS network traffic, adversaries may spoof an authoritative source for name resolution to force communication with an adversary controlled system. This activity may be used to collect or relay authentication materials.",LLMNR/NBT-NS Poisoning and SMB Relay
S0357,Impacket,Impacket modules like ntlmrelayx and smbrelayx can be used in conjunction with Network Sniffing and LLMNR/NBT-NS Poisoning and SMB Relay to gather NetNTLM credentials for Brute Force or relay attacks that can gain code execution.,T1557.001,"Tactics:
Credential Access,                                                        Collection","By responding to LLMNR/NBT-NS network traffic, adversaries may spoof an authoritative source for name resolution to force communication with an adversary controlled system. This activity may be used to collect or relay authentication materials.",LLMNR/NBT-NS Poisoning and SMB Relay
G0032,Lazarus Group,Lazarus Group executed Responder using the command [Responder file path] -i [IP address] -rPv on a compromised host to harvest credentials and move laterally.,T1557.001,"Tactics:
Credential Access,                                                        Collection","By responding to LLMNR/NBT-NS network traffic, adversaries may spoof an authoritative source for name resolution to force communication with an adversary controlled system. This activity may be used to collect or relay authentication materials.",LLMNR/NBT-NS Poisoning and SMB Relay
S0378,PoshC2,PoshC2 can use Inveigh to conduct name service poisoning for credential theft and associated relay attacks.,T1557.001,"Tactics:
Credential Access,                                                        Collection","By responding to LLMNR/NBT-NS network traffic, adversaries may spoof an authoritative source for name resolution to force communication with an adversary controlled system. This activity may be used to collect or relay authentication materials.",LLMNR/NBT-NS Poisoning and SMB Relay
S0192,Pupy,Pupy can sniff plaintext network credentials and use NBNS Spoofing to poison name services.,T1557.001,"Tactics:
Credential Access,                                                        Collection","By responding to LLMNR/NBT-NS network traffic, adversaries may spoof an authoritative source for name resolution to force communication with an adversary controlled system. This activity may be used to collect or relay authentication materials.",LLMNR/NBT-NS Poisoning and SMB Relay
S0174,Responder,Responder is used to poison name services to gather hashes and credentials from systems within a local network.,T1557.001,"Tactics:
Credential Access,                                                        Collection","By responding to LLMNR/NBT-NS network traffic, adversaries may spoof an authoritative source for name resolution to force communication with an adversary controlled system. This activity may be used to collect or relay authentication materials.",LLMNR/NBT-NS Poisoning and SMB Relay
G0102,Wizard Spider,"Wizard Spider has used the Invoke-Inveigh PowerShell cmdlets, likely for name service poisoning.",T1557.001,"Tactics:
Credential Access,                                                        Collection","By responding to LLMNR/NBT-NS network traffic, adversaries may spoof an authoritative source for name resolution to force communication with an adversary controlled system. This activity may be used to collect or relay authentication materials.",LLMNR/NBT-NS Poisoning and SMB Relay
G0003,Cleaver,Cleaver has used custom tools to facilitate ARP cache poisoning.,T1557.002,"Tactics:
Credential Access,                                                        Collection",Adversaries may poison Address Resolution Protocol (ARP) caches to position themselves between the communication of two or more networked devices. This activity may be used to enable follow-on behaviors such as Network Sniffing or Transmitted Data Manipulation.,ARP Cache Poisoning
G1014,LuminousMoth,LuminousMoth has used ARP spoofing to redirect a compromised machine to an actor-controlled website.,T1557.002,"Tactics:
Credential Access,                                                        Collection",Adversaries may poison Address Resolution Protocol (ARP) caches to position themselves between the communication of two or more networked devices. This activity may be used to enable follow-on behaviors such as Network Sniffing or Transmitted Data Manipulation.,ARP Cache Poisoning
G0007,APT28,APT28 has used a Wi-Fi Pineapple to set up Evil Twin Wi-Fi Poisoning for the purposes of capturing victim credentials or planting espionage-oriented malware.,T1557.004,"Tactics:
Credential Access,                                                        Collection","Adversaries may host seemingly genuine Wi-Fi access points to deceive users into connecting to malicious networks as a way of supporting follow-on behaviors such as Network Sniffing, Transmitted Data Manipulation, or Input Capture.",Evil Twin
C0025,2016 Ukraine Electric Power Attack,"During the 2016 Ukraine Electric Power Attack, Sandworm Team used a script to attempt RPC authentication against a number of hosts.",T1110,Credential Access,"Adversaries may use brute force techniques to gain access to accounts when passwords are unknown or when password hashes are obtained. Without knowledge of the password for an account or set of accounts, an adversary may systematically guess the password using a repetitive or iterative mechanism. Brute forcing passwords can take place via interaction with a service that will check the validity of those credentials or offline against previously acquired credential data, such as password hashes.",Brute Force
G1030,Agrius,Agrius engaged in various brute forcing activities via SMB in victim environments.,T1110,Credential Access,"Adversaries may use brute force techniques to gain access to accounts when passwords are unknown or when password hashes are obtained. Without knowledge of the password for an account or set of accounts, an adversary may systematically guess the password using a repetitive or iterative mechanism. Brute forcing passwords can take place via interaction with a service that will check the validity of those credentials or offline against previously acquired credential data, such as password hashes.",Brute Force
G0007,APT28,APT28 can perform brute force attacks to obtain credentials.,T1110,Credential Access,"Adversaries may use brute force techniques to gain access to accounts when passwords are unknown or when password hashes are obtained. Without knowledge of the password for an account or set of accounts, an adversary may systematically guess the password using a repetitive or iterative mechanism. Brute forcing passwords can take place via interaction with a service that will check the validity of those credentials or offline against previously acquired credential data, such as password hashes.",Brute Force
G0082,APT38,APT38 has used brute force techniques to attempt account access when passwords are unknown or when password hashes are unavailable.,T1110,Credential Access,"Adversaries may use brute force techniques to gain access to accounts when passwords are unknown or when password hashes are obtained. Without knowledge of the password for an account or set of accounts, an adversary may systematically guess the password using a repetitive or iterative mechanism. Brute forcing passwords can take place via interaction with a service that will check the validity of those credentials or offline against previously acquired credential data, such as password hashes.",Brute Force
G0087,APT39,APT39 has used Ncrack to reveal credentials.,T1110,Credential Access,"Adversaries may use brute force techniques to gain access to accounts when passwords are unknown or when password hashes are obtained. Without knowledge of the password for an account or set of accounts, an adversary may systematically guess the password using a repetitive or iterative mechanism. Brute forcing passwords can take place via interaction with a service that will check the validity of those credentials or offline against previously acquired credential data, such as password hashes.",Brute Force
G0096,APT41,APT41 performed password brute-force attacks on the local admin account.,T1110,Credential Access,"Adversaries may use brute force techniques to gain access to accounts when passwords are unknown or when password hashes are obtained. Without knowledge of the password for an account or set of accounts, an adversary may systematically guess the password using a repetitive or iterative mechanism. Brute forcing passwords can take place via interaction with a service that will check the validity of those credentials or offline against previously acquired credential data, such as password hashes.",Brute Force
S0572,Caterpillar WebShell,Caterpillar WebShell has a module to perform brute force attacks on a system.,T1110,Credential Access,"Adversaries may use brute force techniques to gain access to accounts when passwords are unknown or when password hashes are obtained. Without knowledge of the password for an account or set of accounts, an adversary may systematically guess the password using a repetitive or iterative mechanism. Brute forcing passwords can take place via interaction with a service that will check the validity of those credentials or offline against previously acquired credential data, such as password hashes.",Brute Force
S0220,Chaos,Chaos conducts brute force attacks against SSH services to gain initial access.,T1110,Credential Access,"Adversaries may use brute force techniques to gain access to accounts when passwords are unknown or when password hashes are obtained. Without knowledge of the password for an account or set of accounts, an adversary may systematically guess the password using a repetitive or iterative mechanism. Brute forcing passwords can take place via interaction with a service that will check the validity of those credentials or offline against previously acquired credential data, such as password hashes.",Brute Force
S0488,CrackMapExec,CrackMapExec can brute force supplied user credentials across a network range.,T1110,Credential Access,"Adversaries may use brute force techniques to gain access to accounts when passwords are unknown or when password hashes are obtained. Without knowledge of the password for an account or set of accounts, an adversary may systematically guess the password using a repetitive or iterative mechanism. Brute forcing passwords can take place via interaction with a service that will check the validity of those credentials or offline against previously acquired credential data, such as password hashes.",Brute Force
G0105,DarkVishnya,DarkVishnya used brute-force attack to obtain login data.,T1110,Credential Access,"Adversaries may use brute force techniques to gain access to accounts when passwords are unknown or when password hashes are obtained. Without knowledge of the password for an account or set of accounts, an adversary may systematically guess the password using a repetitive or iterative mechanism. Brute forcing passwords can take place via interaction with a service that will check the validity of those credentials or offline against previously acquired credential data, such as password hashes.",Brute Force
G0035,Dragonfly,Dragonfly has attempted to brute force credentials to gain access.,T1110,Credential Access,"Adversaries may use brute force techniques to gain access to accounts when passwords are unknown or when password hashes are obtained. Without knowledge of the password for an account or set of accounts, an adversary may systematically guess the password using a repetitive or iterative mechanism. Brute forcing passwords can take place via interaction with a service that will check the validity of those credentials or offline against previously acquired credential data, such as password hashes.",Brute Force
G1003,Ember Bear,Ember Bear used the su-bruteforce tool to brute force specific users using the su command.,T1110,Credential Access,"Adversaries may use brute force techniques to gain access to accounts when passwords are unknown or when password hashes are obtained. Without knowledge of the password for an account or set of accounts, an adversary may systematically guess the password using a repetitive or iterative mechanism. Brute forcing passwords can take place via interaction with a service that will check the validity of those credentials or offline against previously acquired credential data, such as password hashes.",Brute Force
